time_diff_sec,marker_index,x,y,z
0.0,0,0.597969651222229,-0.00934220664203167,0.05589762702584267
0.03334689140319824,0,0.5987746119499207,-0.009111175313591957,0.04901142045855522
0.06669378280639648,0,0.5980157852172852,-0.00934218056499958,0.05664658918976784
0.10004091262817383,0,0.598446249961853,-0.009158888831734657,0.05243976041674614
0.13338756561279297,0,0.5981477499008179,-0.009287022054195404,0.05329105630517006
0.166733980178833,0,0.5985268950462341,-0.009122399613261223,0.05031035840511322
0.20008063316345215,0,0.5980595946311951,-0.009363895282149315,0.055391162633895874
0.2334270477294922,0,0.5983772277832031,-0.009152457118034363,0.05176127701997757
0.2667734622955322,0,0.59806227684021,-0.009332232177257538,0.05464886128902435
0.30011963844299316,0,0.598389208316803,-0.009457681328058243,0.051378704607486725
0.3334658145904541,0,0.5979961156845093,-0.009443972259759903,0.05448820814490318
0.36681175231933594,0,0.5983670949935913,-0.009298428893089294,0.05134561285376549
0.4001579284667969,0,0.5981513261795044,-0.009320984594523907,0.054418958723545074
0.4335036277770996,0,0.5985205173492432,-0.00960765965282917,0.05138995125889778
0.46684956550598145,0,0.5982116460800171,-0.00925130769610405,0.0538911372423172
0.5001952648162842,0,0.5985888242721558,-0.00934423878788948,0.049766719341278076
0.5335409641265869,0,0.598256528377533,-0.009605439379811287,0.05357546731829643
0.5668864250183105,0,0.5984120965003967,-0.009186957962810993,0.05099048465490341
0.6002318859100342,0,0.5980778932571411,-0.009257450699806213,0.05425360053777695
0.6335773468017578,0,0.5985139608383179,-0.009391916915774345,0.05088503658771515
0.6669225692749023,0,0.5984845161437988,-0.010566242970526218,0.053691744804382324
0.7002677917480469,0,0.598448634147644,-0.009192870929837227,0.05119436979293823
0.7336130142211914,0,0.598223090171814,-0.009265463799238205,0.05434948951005936
0.7669579982757568,0,0.5987992882728577,-0.011396649293601513,0.05466334521770477
0.8003029823303223,0,0.5982321500778198,-0.010397836565971375,0.05607397109270096
0.8336482048034668,0,0.5985002517700195,-0.009649299085140228,0.05206476151943207
0.8670060634613037,0,0.5981786251068115,-0.009548485279083252,0.054748453199863434
